Item 68 of 259: {'company': 'Isomorphic Labs', 'platform': 'greenhouse', 'slug': 'isomorphiclabs'}
Item 69 of 259: {'company': 'PhysicsX', 'platform': 'greenhouse', 'slug': 'physicsx'}
Item 70 of 259: {'company': 'Stability AI', 'platform': 'greenhouse', 'slug': 'stabilityai'}
Item 71 of 259: {'company': 'Synthesia', 'platform': 'ashby', 'slug': 'synthesia'}
Item 72 of 259: {'company': 'Faculty', 'platform': 'ashby', 'slug': 'faculty'}
Item 73 of 259: {'company': 'Causaly', 'platform': 'ashby', 'slug': 'causaly'}
Item 74 of 259: {'company': 'Lovable', 'platform': 'ashby', 'slug': 'lovable'}
Item 75 of 259: {'company': 'Legora', 'platform': 'ashby', 'slug': 'legora'}
Item 76 of 259: {'company': 'Spotify', 'platform': 'lever', 'slug': 'spotify'}
Item 77 of 259: {'company': 'Vinted', 'platform': 'lever', 'slug': 'vinted'}
Item 78 of 259: {'company': 'Corti', 'platform': 'ashby', 'slug': 'corti'}
Item 79 of 259: {'company': 'Pleo', 'platform': 'ashby', 'slug': 'pleo'}
Item 80 of 259: {'company': 'Templafy', 'platform': 'greenhouse', 'slug': 'templafy'}
Item 81 of 259: {'company': 'Amplemarket', 'platform': 'greenhouse', 'slug': 'amplemarket'}
Item 82 of 259: {'company': 'Perplexity', 'platform': 'ashby', 'slug': 'perplexity'}
Item 83 of 259: {'company': 'Clay Labs', 'platform': 'ashby', 'slug': 'claylabs'}
Item 84 of 259: {'company': 'Runway', 'platform': 'greenhouse', 'slug': 'runwayml'}
Item 85 of 259: {'company': 'Hightouch', 'platform': 'greenhouse', 'slug': 'hightouch'}
Item 86 of 259: {'company': 'WorkOS', 'platform': 'ashby', 'slug': 'workos'}
Item 87 of 259: {'company': 'Supabase', 'platform': 'ashby', 'slug': 'supabase'}
Item 88 of 259: {'company': 'Resend', 'platform': 'ashby', 'slug': 'resend'}
Item 89 of 259: {'company': 'Clerk', 'platform': 'ashby', 'slug': 'clerk'}
Item 90 of 259: {'company': 'Inngest', 'platform': 'ashby', 'slug': 'inngest'}
Item 91 of 259: {'company': 'PlanetScale', 'platform': 'greenhouse', 'slug': 'planetscale'}
Item 92 of 259: {'company': 'Getir', 'platform': 'lever', 'slug': 'getir'}
Item 93 of 259: {'company': 'Semios', 'platform': 'workable', 'slug': 'semios'}
Item 94 of 259: {'company': 'LexisNexis Risk Solutions', 'platform': 'workday', 'slug': 'relx/wd3/RiskSolutions'}
Item 95 of 259: {'company': 'TransUnion', 'platform': 'workday', 'slug': 'transunion/wd5/TransUnion'}
Item 96 of 259: {'company': 'Equifax', 'platform': 'workday', 'slug': 'equifax/wd5/External'}
Item 97 of 259: {'company': 'Guidewire Software', 'platform': 'workday', 'slug': 'guidewire/wd5/external'}
Item 98 of 259: {'company': 'Bloomberg', 'platform': 'workday', 'slug': 'bloomberg/wd1/Bloombergindustrygroup_External_Career_Site'}
Item 99 of 259: {'company': 'Guidehouse', 'platform': 'workday', 'slug': 'guidehouse/wd1/External'}
Item 100 of 259: {'company': 'GDIT', 'platform': 'workday', 'slug': 'gdit/wd5/External_Career_Site'}
Item 101 of 259: {'company': 'S&P Global', 'platform': 'workday', 'slug': 'spgi/wd5/SPGI_Careers'}
Item 102 of 259: {'company': 'GitLab', 'platform': 'greenhouse', 'slug': 'gitlab'}
Item 103 of 259: {'company': 'Airbnb', 'platform': 'greenhouse', 'slug': 'airbnb'}
Item 104 of 259: {'company': 'Dropbox', 'platform': 'greenhouse', 'slug': 'dropbox'}
Item 105 of 259: {'company': 'Instacart', 'platform': 'greenhouse', 'slug': 'instacart'}
Item 106 of 259: {'company': 'Reddit', 'platform': 'greenhouse', 'slug': 'reddit'}
Item 107 of 259: {'company': 'Asana', 'platform': 'greenhouse', 'slug': 'asana'}
Item 108 of 259: {'company': 'Gusto', 'platform': 'greenhouse', 'slug': 'gusto'}
Item 109 of 259: {'company': 'Samsara', 'platform': 'greenhouse', 'slug': 'samsara'}
Item 110 of 259: {'company': 'Cloudflare', 'platform': 'greenhouse', 'slug': 'cloudflare'}
Item 111 of 259: {'company': 'Twitch', 'platform': 'greenhouse', 'slug': 'twitch'}
Item 112 of 259: {'company': 'Lyft', 'platform': 'greenhouse', 'slug': 'lyft'}
Item 113 of 259: {'company': 'Pinterest', 'platform': 'greenhouse', 'slug': 'pinterest'}
Item 114 of 259: {'company': 'Datadog', 'platform': 'greenhouse', 'slug': 'datadog'}
Item 115 of 259: {'company': 'Elastic', 'platform': 'greenhouse', 'slug': 'elastic'}
Item 116 of 259: {'company': 'Peloton', 'platform': 'greenhouse', 'slug': 'peloton'}
Item 117 of 259: {'company': 'Flexport', 'platform': 'greenhouse', 'slug': 'flexport'}
Item 118 of 259: {'company': 'Amplitude', 'platform': 'greenhouse', 'slug': 'amplitude'}
Item 119 of 259: {'company': 'Calendly', 'platform': 'greenhouse', 'slug': 'calendly'}
Item 120 of 259: {'company': 'Faire', 'platform': 'greenhouse', 'slug': 'faire'}
Item 121 of 259: {'company': 'Scale AI', 'platform': 'greenhouse', 'slug': 'scaleai'}
Item 122 of 259: {'company': 'Together AI', 'platform': 'greenhouse', 'slug': 'togetherai'}
Item 123 of 259: {'company': 'Vanta', 'platform': 'ashby', 'slug': 'vanta'}
Item 124 of 259: {'company': 'Linear', 'platform': 'ashby', 'slug': 'linear'}
Item 125 of 259: {'company': 'Watershed', 'platform': 'ashby', 'slug': 'watershed'}
Item 126 of 259: {'company': 'Replit', 'platform': 'ashby', 'slug': 'replit'}
Item 127 of 259: {'company': 'Modal', 'platform': 'ashby', 'slug': 'modal'}
Item 128 of 259: {'company': 'Baseten', 'platform': 'ashby', 'slug': 'baseten'}
Item 129 of 259: {'company': 'Browserbase', 'platform': 'ashby', 'slug': 'browserbase'}
Item 130 of 259: {'company': 'Zip', 'platform': 'ashby', 'slug': 'zip'}
Item 131 of 259: {'company': 'Cursor', 'platform': 'ashby', 'slug': 'cursor'}
Item 132 of 259: {'company': 'Netlify', 'platform': 'greenhouse', 'slug': 'netlify'}
Item 133 of 259: {'company': 'Cockroach Labs', 'platform': 'greenhouse', 'slug': 'cockroachlabs'}
Item 134 of 259: {'company': 'Lattice', 'platform': 'greenhouse', 'slug': 'lattice'}
Item 135 of 259: {'company': 'Neon', 'platform': 'ashby', 'slug': 'neon'}
Item 136 of 259: {'company': 'Okta', 'platform': 'greenhouse', 'slug': 'okta'}
Item 137 of 259: {'company': 'Opendoor', 'platform': 'greenhouse', 'slug': 'opendoor'}
Item 138 of 259: {'company': 'PagerDuty', 'platform': 'greenhouse', 'slug': 'pagerduty'}
Item 139 of 259: {'company': 'Postman', 'platform': 'greenhouse', 'slug': 'postman'}
Item 140 of 259: {'company': 'Railway', 'platform': 'ashby', 'slug': 'railway'}
Item 141 of 259: {'company': 'Render', 'platform': 'ashby', 'slug': 'render'}
Item 142 of 259: {'company': 'Retool', 'platform': 'greenhouse', 'slug': 'retool'}
Item 143 of 259: {'company': 'Ripple', 'platform': 'greenhouse', 'slug': 'ripple'}
